"OBJECTID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT_NAME","FIRE_YEAR","Month","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","FIPS_NAME"
480490,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Debris and open burning","",1743,0.5,"B",38.83333001,-76.25000001,"PRIVATE","MD","Talbot County"
480491,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1223,0.1,"A",38.74999999,-76.08333997,"STATE","MD","Talbot County"
480492,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",2315,0.1,"A",39.33332998,-77.70834,"PRIVATE","MD","Washington County"
480493,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1415,0.1,"A",39.33332998,-77.66666001,"STATE","MD","Washington County"
480494,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",2310,0.1,"A",39.33332998,-77.70000001,"PRIVATE","MD","Washington County"
480495,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1320,0.5,"B",39.53332997,-77.70000001,"STATE","MD","Washington County"
480496,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1830,2.7,"B",39.54167002,-77.63333001,"STATE","MD","Washington County"
480497,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",1600,4,"B",39.61665999,-78.60000001,"STATE","MD","Allegany County"
480498,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Equipment and vehicle use","",1630,0.1,"A",39.66666997,-77.54723,"PRIVATE","MD","Washington County"
480499,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1324,0.1,"A",39.66666997,-77.70834,"PRIVATE","MD","Washington County"
480500,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1835,0.3,"B",39.36665998,-77.66666001,"PRIVATE","MD","Washington County"
480501,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1520,0.1,"A",39.67527999,-78.27471998,"MISSING/NOT SPECIFIED","MD","Washington County"
480502,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Equipment and vehicle use","",1417,0.8,"B",38.43707002,-75.78833,"PRIVATE","MD","Wicomico County"
480503,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",2000,0.8,"B",38.31389002,-75.49999997,"PRIVATE","MD","Wicomico County"
480504,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Debris and open burning","",1605,0.2,"A",38.30792,-75.65464998,"PRIVATE","MD","Wicomico County"
480505,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Debris and open burning","",1235,0.2,"A",38.53610002,-75.92096999,"PRIVATE","MD","Wicomico County"
480506,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",2330,0.1,"A",39.49331999,-75.98829997,"STATE","MD","Cecil County"
480507,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Misuse of fire by a minor","Minor",1700,0.1,"A",39.61602002,-75.94623002,"PRIVATE","MD","Cecil County"
